"","job","children","age","income","marital","churn"
"78",1,1,50,74794.84,0,0
"79",1,1,24,19038.78,0,1
"80",1,0,20,79167.77,0,0
"81",1,1,29,37428.26,1,1
"82",1,0,31,45148.38,0,0
"83",1,5,72,74855.47,0,0
"84",1,4,71,45323.86,0,0
"85",1,2,32,71596.14,0,0
"86",1,0,33,10389.95,0,0
"87",1,3,67,19657.14,0,0
"88",1,0,66,27827.03,0,1
"89",1,4,21,15609.05,0,1
"90",1,0,61,19815.63,0,0
"91",1,0,75,58482.9,0,1
"92",1,0,63,41656.53,0,1
"93",1,0,68,115510.46,0,0
"94",1,2,32,15841.19,0,1
"95",1,0,76,81127.41,0,0
"96",1,0,29,24270.88,0,1
"97",1,0,83,54466.33,1,0
"98",1,10,23,64816.84,0,1
"99",1,5,80,103311.26,0,0
"100",1,0,20,40211.04,0,0
"101",1,0,69,58077.38,0,1
"102",1,1,32,43466.35,0,0
"103",1,0,53,23289.77,0,1
"104",1,2,25,49158.49,0,0
"105",1,0,69,3805.84,0,1
"106",1,3,71,52616.27,0,1
"107",1,3,53,30550.42,0,1
"108",1,2,56,12154.01,0,1
"109",1,0,42,30649.31,1,1
"110",1,3,33,31417.33,1,1
"111",1,1,47,55861.19,0,0
"112",1,1,48,9044.26,0,1
"113",1,0,63,25381.66,0,1
"114",1,1,40,65064.31,0,0
"115",1,0,67,12527.51,0,1
"116",1,0,56,35499.06,0,0
"117",1,6,24,26282.4,1,0
"118",1,2,79,51237.28,0,0
"119",1,3,61,64222.21,1,1
"120",1,0,38,11014.98,0,1
"121",1,4,28,21172.49,0,0
"122",1,3,44,26130.78,0,1
"123",1,1,65,36478.21,0,0
"124",1,3,35,54533.63,0,0
"125",1,2,31,37103.18,0,0
"126",1,2,34,74679.84,0,0
"127",1,2,68,95028.57,0,1
"128",1,0,62,34281.1,0,0
"129",1,0,52,36240.81,0,0
"130",1,5,32,9515.64,0,1
"131",1,0,47,125814.88,0,1
"132",1,8,66,12995.68,0,0
"133",1,1,70,77531.43,0,1
"134",1,3,41,87354.99,0,1
"135",1,2,59,76567.85,0,0
"136",1,1,46,30663.52,1,0
"137",1,3,70,122957.19,1,0
"138",1,1,89,31600.92,0,0
"139",1,4,75,74638.78,0,1
"140",1,0,26,32652.3,1,1
"141",1,4,25,63650.54,0,0
"142",1,1,84,28622.6,0,1
"143",1,3,69,50252.79,0,0
"144",1,3,31,19800.81,0,0
"145",1,10,76,35954.77,1,1
"146",1,8,75,36342.31,0,1
"147",1,1,74,48715.53,0,1
"148",1,1,49,23204.98,0,0
"149",1,1,47,35302.52,0,1
"150",1,4,20,54895.16,1,1
"151",1,2,26,60398.06,0,1
"152",1,2,72,8115.88,0,0
"153",1,1,41,33858.66,0,0
"154",1,3,26,29950.47,1,1
"155",1,4,55,49421.69,0,0
"156",1,1,46,11061.05,1,0
"157",1,0,87,15388.32,0,1
"158",1,1,39,20624.31,0,0
"159",1,0,81,47877.81,1,1
"160",1,0,83,46154.17,0,0
"161",1,0,50,107111.8,0,1
"162",1,3,87,10403.59,1,1
"163",1,3,76,22412.6,1,0
"164",1,6,25,19476.27,0,1
"165",1,3,34,96382.76,1,1
"166",1,1,46,28022.56,0,0
"167",1,1,73,35478.4,1,0
"168",1,8,57,10155.51,0,1
"169",1,3,58,87537.25,0,0
"170",1,4,70,34112.1,0,1
"171",1,0,53,32653.51,1,1
"172",1,0,31,35321.46,1,1
"173",1,0,38,49277.48,0,0
"174",1,0,26,37297.82,0,1
"175",1,2,44,14928.96,0,0
"176",1,3,66,24702.68,0,1
"177",1,1,58,87535.71,0,0
"178",1,6,51,63166.87,0,1
"179",1,4,34,11856.81,0,0
"180",1,0,87,27326.79,0,0
"181",1,1,67,12779.23,0,1
"182",1,4,59,25519.91,0,1
"183",1,7,23,46871.21,0,0
"184",1,0,42,77383.72,0,1
"185",1,1,24,47395.3,0,1
"186",1,2,81,90977.74,0,0
"187",1,8,78,135727.71,0,0
"188",1,1,51,47726.25,0,1
"189",1,1,70,51721.64,0,0
"190",1,0,87,41531.03,1,0
"191",1,0,46,33504.8,0,0
"192",1,8,56,34197.3,0,1
"193",1,4,44,11518.58,1,1
"194",1,0,33,31065.17,0,0
"195",1,0,19,32097.17,0,1
"196",1,1,31,23424.88,0,1
"197",1,1,34,35988.24,0,0
"198",1,4,43,35539.7,0,0
"199",1,1,82,27959.34,0,0
"200",1,6,36,52232.97,0,0
"201",1,1,48,18198.59,0,1
"202",1,0,52,16851.94,0,1
"203",1,1,35,16440.05,0,1
"204",1,3,83,44223.58,0,0
"205",1,0,20,33343.73,0,0
"206",1,0,25,30664.56,0,1
"207",1,0,88,31934.04,0,0
"208",1,1,54,26676.4,0,0
"209",1,1,46,67211.95,0,1
"210",1,2,75,31136.77,0,0
"211",1,5,66,40660.84,0,0
"212",1,0,51,10606.59,0,0
"213",1,3,81,92447.71,0,0
"214",1,0,75,13612.16,0,0
"215",1,3,54,13765.39,0,1
"216",1,2,73,53019.98,0,0
"217",1,0,53,42523.02,0,0
"218",1,8,33,52143.7,0,0
"219",1,5,41,19097.94,0,0
"220",1,1,59,11301.4,0,0
"221",1,3,23,17814,0,1
"222",1,1,32,22533.05,0,1
"223",1,3,51,19974.4,0,1
"224",1,1,46,45146.99,0,0
"225",1,3,37,10330.1,1,1
"226",1,0,53,15281.28,0,0
"227",1,1,62,11217.96,0,1
"228",1,1,57,17516,0,0
"229",1,2,80,20566.64,1,1
"230",1,1,43,36128.68,1,1
"231",1,1,35,52129.84,0,1
"232",1,1,63,25985.06,0,0
"233",1,1,63,10909.79,0,1
"234",1,1,27,41151.14,0,0
"235",1,4,19,64063.23,1,0
"236",1,1,40,20414.07,0,0
"237",1,0,42,41412.1,0,1
"238",1,0,40,99195.08,1,1
"239",1,0,72,18408.94,1,0
"240",1,3,61,15930.45,0,1
"241",1,0,71,25611.29,0,0
"242",1,4,68,9428.86,0,0
"243",1,1,88,3810.16,0,0
"244",1,1,64,118022.06,0,1
"245",1,1,63,51992.79,1,1
"246",1,0,53,79993.43,0,0
"247",1,0,41,37706.85,0,0
"248",1,2,63,22466.53,1,0
"249",1,4,56,16608.27,1,0
"250",1,2,27,25146.14,0,0
"251",1,2,47,58882.35,0,0
"252",1,4,42,31809.46,0,0
"253",1,0,72,27235.54,0,1
"254",1,3,58,70476.82,1,1
"255",1,0,33,49396.09,0,1
"256",1,6,87,35060.94,0,1
"257",1,0,34,66055.53,0,0
"258",1,7,76,91335.76,0,0
"259",1,3,38,54349.75,0,0
"260",1,0,47,75042.1,0,1
"261",1,7,84,91001.1,0,1
"262",1,4,19,44426.28,0,1
"263",1,0,87,63284.16,0,0
"264",1,3,75,14039.21,0,0
"265",1,0,37,12453.24,0,1
"266",1,1,52,15934.12,0,1
"267",1,0,24,48314.4,0,1
"268",1,4,83,5511.77,1,1
"269",1,3,19,10701.11,0,1
"270",1,1,78,10767.15,0,1
"271",1,4,61,13493.63,0,0
"272",1,0,38,25071.58,0,1
"273",1,0,79,368.5,0,1
"274",1,0,49,27976.63,0,0
"275",1,0,41,56154.5,1,0
"276",1,0,75,62145.59,0,0
"277",1,1,60,6517.94,1,0
"278",1,1,70,19090.03,0,0
"279",1,0,23,13194.33,0,1
"280",1,2,84,63963.36,1,1
"281",1,1,63,34447.89,1,1
"282",1,2,88,36315.29,0,0
"283",1,0,44,5009.07,0,1
"284",1,1,49,14202.72,0,1
"285",1,8,32,54779.76,1,1
"286",1,1,69,36453.31,0,0
"287",1,2,60,11250.71,0,1
"288",1,0,57,65951.35,0,0
"289",1,8,62,15292.25,0,1
"290",1,0,26,41879.1,0,0
"291",1,0,85,17080.57,0,1
"292",1,2,82,68122.23,0,0
"293",1,2,40,39468.79,0,0
"294",1,0,50,123763.12,0,1
"295",1,1,71,84301.44,0,1
"296",1,2,48,42469.81,0,0
"297",1,0,24,75458.79,0,0
"298",1,3,79,60345.9,0,0
"299",1,4,82,76066.77,0,0
"300",1,2,68,42755.27,0,1
"301",1,5,77,76874.25,0,0
"302",1,1,19,41075.64,0,0
"303",1,1,80,63095.62,0,1
"304",1,4,31,82131.87,0,1
"305",1,2,62,28502.33,0,0
"306",1,4,80,9450.84,0,1
"307",1,1,36,44977.06,1,0
"308",1,0,72,13583.35,0,0
"309",1,0,50,42093.64,1,0
"310",1,3,31,55398.87,0,0
"311",1,0,22,22362.59,0,0
"312",1,0,50,40271.47,1,1
"313",1,0,28,56178.63,0,0
"314",1,0,63,21053.35,0,0
"315",1,1,73,75866.75,0,0
"316",1,3,72,74061.48,0,0
"317",1,7,23,35102.93,0,1
"318",1,1,49,26391.1,0,1
"319",1,1,82,29982.49,0,1
"320",1,1,72,51154.34,0,0
"321",1,1,45,37583.97,0,0
"322",1,1,73,28654.87,0,0
"323",1,1,78,119968.61,0,1
"324",1,4,71,11591.09,1,0
"325",1,4,67,70174.11,0,1
"326",1,1,43,8495.04,0,0
"327",1,5,27,17191.02,0,1
"328",1,2,39,24732.09,0,1
"329",1,0,52,27282.21,0,0
"330",1,9,19,40902.49,1,1
"331",1,0,48,87568.16,1,1
"332",1,0,22,69327.78,0,1
"333",1,1,69,5194.22,1,1
"334",1,1,31,12951.51,1,0
"335",1,9,79,11179.42,0,0
"336",1,0,65,47288.09,0,0
"337",1,4,49,114398.35,1,1
"338",1,6,69,105646.73,0,1
"339",1,3,74,42386.84,0,0
"340",1,3,27,38864.57,0,1
"341",1,4,79,25215.22,0,1
"342",1,1,41,9302.3,0,0
"343",1,0,51,45225.74,0,0
"344",1,0,57,29976.15,0,1
"345",1,1,66,13155.79,0,0
"346",1,4,85,14980.5,0,1
"347",1,9,54,24017.57,0,0
"348",1,8,79,26204.77,0,1
"349",1,3,56,27978.78,0,1
"350",1,1,80,46622.3,0,1
"351",1,0,37,34419.26,1,1
"352",1,7,24,8507.97,0,0
"353",1,3,48,64420.19,1,0
"354",1,0,68,122263.81,0,1
"355",1,3,74,64446.9,1,1
"356",1,1,37,20647.83,0,0
"357",1,0,54,23956.91,0,1
"358",1,1,84,56003.36,0,0
"359",1,10,68,50150.81,0,1
"360",1,10,39,4180.22,0,0
"361",1,4,85,70023.28,0,0
"362",1,1,86,40728.96,0,1
"363",1,1,70,69248.13,0,0
"364",1,1,33,65187.42,0,1
"365",1,1,58,26005.77,0,0
"366",1,2,58,10423.75,0,0
"367",1,4,42,28909.96,0,1
"368",1,2,89,28219.28,1,0
"369",1,2,63,67319.27,0,0
"370",1,0,18,71348.1,0,1
"371",1,4,82,39231.99,0,0
"372",1,8,61,28129.21,0,0
"373",1,7,36,69104.9,1,0
"374",1,1,87,31282.78,0,0
"375",1,0,48,65229.24,0,1
"376",1,8,56,15110.46,0,1
"377",1,0,57,66922.3,0,0
"378",1,3,89,1666.59,0,1
"379",1,6,30,50258.38,0,0
"380",1,4,54,54373.35,0,1
"381",1,5,55,33588.84,0,0
"382",1,1,46,23629.05,1,1
"383",1,0,18,91186.03,0,0
"384",1,0,58,20204.74,0,0
"385",1,1,60,37703.83,0,1
"386",1,2,62,29117.32,0,0
"387",1,4,30,52531.72,0,0
"388",1,4,75,25742.72,0,1
"389",1,7,23,21072.82,1,1
"390",1,1,84,37774.81,1,1
"391",1,3,61,20811.42,0,1
"392",1,0,75,34474.39,0,1
"393",1,3,72,81388.6,0,1
"394",1,0,66,78272.96,0,1
"395",1,2,81,11655.88,0,1
"396",1,4,34,37773.19,0,0
"397",1,1,82,40183.01,0,1
"398",1,1,73,37149.4,1,0
"399",1,0,28,10331.57,0,1
"400",1,1,48,37096.85,1,0
"401",1,2,53,26004.59,1,1
"402",1,4,52,77291.95,0,1
"403",1,3,20,24462.25,0,0
"404",1,0,19,75871.75,0,1
"405",1,0,70,28840.47,0,0
"406",1,4,48,25299.48,0,0
"407",1,2,28,37631.4,1,0
"408",1,2,52,23014.69,0,0
"409",1,1,77,31300.68,0,0
"410",1,3,71,55840.35,0,0
"411",1,4,22,9729.44,0,1
"412",1,1,88,35891.67,0,1
"413",1,0,25,20801.9,0,0
"414",1,2,21,112429.2,0,0
"415",1,1,39,33217.64,0,0
"416",1,1,29,45562.97,0,0
"417",1,1,22,15380.9,0,0
"418",1,10,44,100232.53,0,0
"419",1,4,74,57900.98,0,0
"420",1,2,84,60476.86,0,0
"421",1,1,65,26875.13,0,0
"422",1,2,29,24447.03,0,0
"423",1,2,51,14817.22,1,1
"424",1,0,40,6170.55,1,1
"425",1,2,49,33620.38,0,0
"426",1,7,61,86453.08,0,1
"427",1,3,61,31466.9,0,0
"428",1,1,85,76984.15,0,0
"429",1,8,25,43586.8,0,0
"430",1,4,48,13148.09,0,0
"431",1,4,86,11612.88,0,0
"432",1,0,53,71215.87,0,1
"433",1,2,88,18113.33,0,0
"434",1,1,40,18895.18,0,1
"435",1,1,23,48852.54,0,1
"436",1,3,63,6574.36,1,1
"437",1,2,28,10342.14,0,0
"438",1,1,26,23028.48,0,1
"439",1,2,22,31843.16,0,0
"440",1,2,43,31920.88,1,0
"441",1,6,70,54961.9,0,1
"442",1,2,48,119964.79,0,0
"443",1,1,29,21897.41,0,1
"444",1,4,61,72129.01,0,1
"445",1,1,73,16368.02,0,0
"446",1,2,27,59147.78,0,1
"447",1,1,56,65900.37,0,1
"448",1,6,19,69369.36,0,0
"449",1,1,56,23382.74,0,1
"450",1,2,83,25886.2,0,0
"451",1,3,84,99519.26,1,0
"452",1,0,62,93039.69,0,0
"453",1,0,67,37852.37,0,0
"454",1,1,21,54727.46,0,0
"455",1,2,31,47944.46,0,0
"456",1,2,25,18402.27,0,1
"457",1,0,60,43631.75,0,1
"458",1,6,84,31392.97,0,0
"459",1,1,36,10466.23,0,0
"460",1,0,87,20197.89,0,0
"461",1,2,80,99482.26,0,1
"462",1,0,34,48005.75,0,0
"463",1,4,39,50666.54,0,1
"464",1,8,42,6117.38,0,0
"465",1,4,36,7953.27,1,0
"466",1,0,18,101000.3,0,1
"467",1,0,66,10882.02,0,0
"468",1,3,20,69156.25,0,1
"469",1,0,73,19563.77,1,0
"470",1,0,83,27113,0,0
"471",1,2,67,156740.67,1,1
"472",1,2,62,23165.82,1,1
"473",1,2,34,13378.22,0,0
"474",1,2,28,5337.97,0,0
"475",1,2,26,72490.86,1,1
"476",1,2,82,12476.24,0,1
"477",1,1,59,64584.13,0,0
"478",1,6,46,32885.95,0,0
"479",1,1,44,80862.03,0,1
"480",1,4,56,49800.1,0,0
"481",1,10,32,6958.83,0,0
"482",1,2,50,19133.76,0,1
"483",1,7,53,23413.1,0,0
"484",1,1,84,11957.82,0,0
"485",1,5,33,31250.41,1,1
"486",1,3,29,9487.91,0,0
"487",1,7,87,13533.47,1,1
"488",1,3,34,46533.08,0,1
"489",1,3,34,47946.16,0,0
"490",1,1,28,14393.72,0,1
"491",1,2,68,4102.64,0,1
"492",1,0,26,11249.18,0,1
"493",1,0,61,18684.74,0,0
"494",1,4,79,75276.52,0,0
"495",1,1,49,78129.73,0,0
"496",1,3,85,97761.18,1,1
"497",1,0,25,20789.86,1,1
"498",1,0,19,34038.71,0,1
"499",1,0,28,16051.94,0,0
"500",1,0,86,24266.04,0,1
"501",1,0,54,28712.86,0,0
"502",1,2,28,18966.81,0,1
"503",1,2,25,67530.44,0,0
"504",1,4,81,38866.92,0,1
"505",1,2,89,44314.39,0,1
"506",1,0,62,26929.55,0,1
"507",1,1,31,50643.95,0,0
"508",1,3,48,4803.58,0,0
"509",1,1,22,21278.71,0,1
"510",1,0,22,16874.68,0,0
"511",1,2,20,20314.7,0,0
"512",1,1,58,146494.7,0,0
"513",1,0,81,28908.4,0,1
"514",1,0,26,159315.5,0,1
"515",1,0,89,47370.85,0,1
"516",1,1,59,59158.79,0,1
"517",1,0,75,39802.79,0,1
"518",1,5,35,50195.66,0,0
"519",1,1,28,52946.65,0,0
"520",1,3,48,7681.82,0,1
"521",1,1,29,17876.13,0,0
"522",1,0,62,21795.58,1,1
"523",1,1,43,5192.16,1,0
"524",1,0,66,60897.92,0,0
"525",1,3,56,35939.37,0,1
"526",1,0,73,24091.33,0,1
"527",1,4,21,41209.8,1,1
"528",1,1,48,26695.46,0,1
"529",1,0,82,14185.42,0,0
"530",1,0,22,12765.41,0,1
"531",1,3,34,11386.53,0,0
"532",1,2,56,56131.21,0,0
"533",1,2,25,50560.17,0,1
"534",1,0,44,24202.12,0,0
"535",1,1,59,1668.97,0,0
"536",1,0,63,36973.83,0,0
"537",1,1,76,17218.09,0,1
"538",1,4,41,34228.9,1,0
"539",1,4,25,31159.95,1,0
"540",1,1,40,21654.51,0,0
"541",1,0,77,36121.33,0,0
"542",1,4,20,76136.04,0,0
"543",1,0,53,20957.58,0,1
"544",1,0,36,33559.74,0,1
"545",1,0,86,30142.44,0,1
"546",1,1,59,21663.69,0,0
"547",1,3,26,12924.08,1,1
"548",1,3,61,67021.35,0,0
"549",1,3,27,31006.39,0,1
"550",1,2,53,28580.25,0,1
"551",1,1,32,23706.94,0,1
"552",1,0,60,49693.17,0,0
"553",1,3,25,77622.97,0,1
"554",1,3,52,86411.28,0,1
"555",1,10,32,46353.07,0,0
"556",1,1,88,62359.81,0,0
"557",1,0,59,19942.74,0,0
"558",1,1,54,51203.14,0,1
"559",1,3,83,10818.08,0,1
"560",1,0,88,33165.9,0,0
"561",1,1,68,25819.56,0,1
"562",1,0,38,21806.2,0,1
"563",1,3,23,28082.45,0,1
"564",1,3,55,69662.99,0,0
"565",1,1,43,54674.22,0,0
"566",1,4,61,16706.02,0,0
"567",1,0,38,31980.81,0,0
"568",1,4,28,41955.27,0,0
"569",1,0,84,57107.43,0,1
"570",1,0,22,6769.7,0,1
"571",1,1,34,65191.79,0,0
"572",1,0,28,35947.74,0,0
"573",1,6,83,23022.97,0,1
"574",1,0,86,33529.19,1,1
"575",1,3,79,73378.99,0,1
"576",1,1,56,3504.7,1,1
"577",1,0,47,20125.41,0,0
"578",1,1,84,25807.14,0,0
"579",1,8,35,21801.03,0,0
"580",1,4,26,15518.51,0,0
"581",1,0,41,10299.94,0,0
"582",1,2,50,30944.95,0,1
"583",1,1,34,80906.28,1,0
"584",1,1,22,39281.35,1,0
"585",1,0,55,14536.31,0,0
"586",1,6,80,43044.31,0,0
"587",1,1,85,19373.31,0,1
"588",1,0,58,46426,0,0
"589",1,4,37,24903.99,0,1
"590",1,3,71,82554.24,0,0
"591",1,0,63,48163.8,0,0
"592",1,0,47,25331.3,0,1
"593",1,2,80,25898.52,1,1
"594",1,3,26,2374.22,1,0
"595",1,3,28,88915.15,1,1
"596",1,4,38,21168.49,1,1
"597",1,2,79,74026.91,0,1
"598",1,2,48,21064.75,0,0
"599",1,2,80,42659.99,0,0
"600",1,4,66,15253.93,1,0
"601",1,9,26,29353.41,1,0
"602",1,1,56,35089.38,0,1
"603",1,4,69,75443.13,0,0
"604",1,0,73,55081.63,1,0
"605",1,0,55,16581.74,1,0
"606",1,2,32,29361.24,1,1
"607",1,1,71,26164.5,0,0
"608",1,2,26,60231.84,0,1
"609",1,2,71,20191.76,0,1
"610",1,0,51,44316.41,0,1
"611",1,1,89,51090.87,0,1
"612",1,0,58,58324.01,1,1
"613",1,2,46,48137.75,0,0
"614",1,1,19,19639.83,0,0
"615",1,1,18,27259.78,0,1
"616",1,1,78,86897.5,0,0
"617",1,0,51,27537.94,0,1
"618",1,0,65,8690.46,0,1
"619",1,1,37,29823.06,0,0
"620",1,0,38,28790.03,1,0
"621",1,1,84,63725.44,0,1
"622",1,1,43,14900.46,0,1
"623",1,2,34,37552.96,1,0
"624",1,2,48,163086.24,0,0
"625",1,1,56,15621.76,0,1
"626",1,0,53,12782.07,0,1
"627",1,2,55,14331.34,0,1
"628",1,4,35,25934.55,0,0
"629",1,0,18,37860.79,1,0
"630",1,0,38,99007.42,0,0
"631",1,1,55,49915.86,0,1
"632",1,2,81,11455.64,1,1
"633",1,0,55,22322.51,0,0
"634",1,0,64,67019.55,0,0
"635",1,0,80,61436.18,0,1
"636",1,1,36,83705.06,0,1
"637",1,6,42,58187.53,0,0
"638",1,4,44,36699.84,0,1
"639",1,2,24,26942.28,0,1
"640",1,1,39,15638.87,0,1
"641",1,3,68,49252.56,1,1
"642",1,1,83,8497.8,0,1
"643",1,2,56,56574.39,1,0
"644",1,4,47,58297.91,0,0
"645",1,2,59,24940.07,0,1
"646",1,1,28,18410.16,1,1
"647",1,1,81,85742.06,0,0
"648",1,2,69,100626.29,0,1
"649",1,1,77,20485.31,0,0
"650",1,1,26,24166.24,0,0
"651",1,1,47,60415.32,0,1
"652",1,2,50,40667.47,0,0
"653",1,1,46,29876.17,1,1
"654",1,3,40,22790.72,0,1
"655",1,5,52,67828.98,0,1
"656",1,1,68,94520.02,0,0
"657",1,4,82,172884.11,0,0
"658",1,1,83,45301.07,0,0
"659",1,0,21,13673.66,1,1
"660",1,0,43,33731.69,0,0
"661",1,1,65,47738.37,0,1
"662",1,3,82,26633,0,0
"663",1,0,48,70806.33,0,0
"664",1,4,79,73566.21,0,1
"665",1,1,33,50601.07,0,1
"666",1,2,37,111380.52,0,0
"667",1,1,35,30774.73,0,0
"668",1,0,59,12428.24,0,0
"669",1,1,44,43677.48,1,0
"670",1,3,74,50806.21,1,0
"671",1,4,31,32796.83,0,1
"672",1,1,60,43636.68,0,1
"673",1,3,18,44349.71,0,0
"674",1,2,84,37376.03,1,1
"675",1,4,68,60317.8,0,1
"676",1,2,86,72436.33,0,1
"677",1,0,73,54937.5,0,0
"678",1,3,46,4739.77,0,0
"679",1,1,19,48037.69,0,0
"680",1,0,27,37415.85,1,0
"681",1,1,76,114609,0,0
"682",1,1,56,90059.86,1,1
"683",1,2,42,25670.71,0,0
"684",1,0,76,19288.27,0,0
"685",1,7,42,39087.76,0,0
"686",1,0,32,169580.73,0,1
"687",1,1,27,16593.59,1,0
"688",1,3,74,18326.88,0,1
"689",1,2,64,168097.1,0,0
"690",1,2,30,5850.56,0,1
"691",1,4,23,16064.99,0,0
"692",1,3,44,66365.07,0,0
"693",1,0,77,53562.86,0,0
"694",1,4,78,28937.89,1,0
"695",1,1,20,62952.13,0,0
"696",1,2,53,45777.4,0,1
"697",1,1,20,6396.98,0,1
"698",1,6,82,26785.51,0,1
"699",1,0,43,23311.73,0,1
"700",1,1,38,65056,0,1
"701",1,10,81,62921.94,0,0
"702",1,0,34,120435.58,0,0
"703",1,7,36,12145.97,0,1
"704",1,2,38,46111.61,0,1
"705",1,1,33,81170.43,1,0
"706",1,1,66,18893.5,0,0
"707",1,2,78,11583.37,1,0
"708",1,3,80,16852.05,0,1
"709",1,4,38,68180.35,0,1
"710",1,7,80,26569.28,0,1
"711",1,0,48,24034.97,0,1
"712",1,0,20,19474.37,0,0
"713",1,0,18,23775.33,0,0
"714",1,1,49,52875.82,0,1
"715",1,4,80,46786.18,0,0
"716",1,0,24,68647.24,1,0
"717",1,2,87,84826.6,0,1
"718",1,0,73,42305.68,0,1
"719",1,2,76,18301.98,0,1
"720",1,1,80,46647.99,0,0
"721",1,0,89,28330.55,0,0
"722",1,6,43,11661.07,0,1
"723",1,0,50,82226.63,0,0
"724",1,0,64,8864.63,1,0
"725",1,0,49,96022.76,0,1
"726",1,3,32,52856.4,0,1
"727",1,0,31,37772.16,0,0
"728",1,4,44,53135.08,0,0
"729",1,3,52,38311.94,0,0
"730",1,2,66,25100.17,0,1
"731",1,1,54,9080.2,0,0
"732",1,0,36,16778.35,0,1
"733",1,0,61,24518.97,0,1
"734",1,1,27,57938.27,0,0
"735",1,4,89,24865.85,0,0
"736",1,1,47,16091.65,0,0
"737",1,2,81,48226.58,0,1
"738",1,3,79,5694.61,0,1
"739",1,3,35,15603.09,1,0
"740",1,0,88,46988.4,0,1
"741",1,2,55,88666.42,1,0
"742",1,2,34,65540.61,0,0
"743",1,2,35,112914.39,0,0
"744",1,1,43,18534.37,0,0
"745",1,2,70,27588.53,0,0
"746",1,1,50,3563.55,0,1
"747",1,1,43,106964.84,1,0
"748",1,9,69,61475.04,0,0
"749",1,0,25,59930.95,0,1
"750",1,0,88,38656.75,0,0
"751",1,1,69,23806.03,0,0
"752",1,2,43,91141.18,0,1
"753",1,3,79,23507.1,0,0
"754",1,2,86,37837.28,1,0
"755",1,3,84,9994.08,0,1
"756",1,0,78,31779,0,1
"757",1,1,84,18938.33,0,0
"758",1,1,76,29459.16,0,1
"759",1,4,74,17520.23,0,1
"760",1,5,76,15615.89,0,0
"761",1,0,55,44493.49,0,0
"762",1,0,57,5997.99,1,0
"763",1,1,63,48557.08,0,0
"764",1,4,89,13756.31,0,0
"765",1,1,46,12366.21,0,0
"766",1,1,22,11232.67,0,0
"767",1,6,81,14999.93,0,1
"768",1,3,58,30300.58,0,0
"769",1,3,48,12339.69,0,0
"770",1,3,78,9297.37,0,0
"771",1,2,72,27581.84,0,1
"772",1,4,76,45553.16,0,1
"773",1,0,41,78642.15,0,0
"774",1,1,29,11408.67,0,0
"775",1,1,88,11391.26,0,0
"776",1,3,89,15872.36,0,0
